;bhsa_lex;book;chapter;verse;verb_heb;verse_heb;verb_stem;verb_tense;verb_phrase_heb;verb_phrase;verb_clause_heb;verb_clause;subject;complement
27;BW>[;Isaiah;37;1;יָּבֹ֖א ;וַיְהִ֗י כִּשְׁמֹ֨עַ֙ הַמֶּ֣לֶךְ חִזְקִיָּ֔הוּ וַיִּקְרַ֖ע אֶת־בְּגָדָ֑יו וַיִּתְכַּ֣ס בַּשָּׂ֔ק וַיָּבֹ֖א בֵּ֥ית יְהוָֽה׃ ;qal;wayq;יָּבֹ֖א ;JB>;וַיָּבֹ֖א בֵּ֥ית יְהוָֽה׃ ;W JB> BJT JHWH;;BJT JHWH
28;CLX[;Isaiah;37;2;יִּשְׁלַח ;וַ֠יִּשְׁלַח אֶת־אֶלְיָקִ֨ים אֲשֶׁר־עַל־הַבַּ֜יִת וְאֵ֣ת׀ שֶׁבְנָ֣א הַסֹּופֵ֗ר וְאֵת֙ זִקְנֵ֣י הַכֹּהֲנִ֔ים מִתְכַּסִּ֖ים בַּשַּׂקִּ֑ים אֶל־יְשַֽׁעְיָ֥הוּ בֶן־אָמֹ֖וץ הַנָּבִֽיא׃ ;qal;wayq;יִּשְׁלַח ;JCLX;וַ֠יִּשְׁלַח אֶת־אֶלְיָקִ֨ים וְאֵ֣ת׀ שֶׁבְנָ֣א הַסֹּופֵ֗ר וְאֵת֙ זִקְנֵ֣י הַכֹּהֲנִ֔ים אֶל־יְשַֽׁעְיָ֥הוּ בֶן־אָמֹ֖וץ הַנָּבִֽיא׃ ;W JCLX >T >LJQJM W >T CBN> H SWPR W >T ZQNJ H KHNJM >L JC<JHW BN >MWY H NBJ>;;>L JC<JHW BN >MWY H NBJ>
29;BW>[;Isaiah;37;5;יָּבֹ֗אוּ ;וַיָּבֹ֗אוּ עַבְדֵ֛י הַמֶּ֥לֶךְ חִזְקִיָּ֖הוּ אֶל־יְשַׁעְיָֽהוּ׃ ;qal;wayq;יָּבֹ֗אוּ ;JB>W;וַיָּבֹ֗אוּ עַבְדֵ֛י הַמֶּ֥לֶךְ חִזְקִיָּ֖הוּ אֶל־יְשַׁעְיָֽהוּ׃ ;W JB>W <BDJ H MLK XZQJHW >L JC<JHW;<BDJ H MLK XZQJHW;>L JC<JHW
30;CWB[;Isaiah;37;7;שָׁ֣ב ;הִנְנִ֨י נֹותֵ֥ן בֹּו֙ ר֔וּחַ וְשָׁמַ֥ע שְׁמוּעָ֖ה וְשָׁ֣ב אֶל־אַרְצֹ֑ו וְהִפַּלְתִּ֥יו בַּחֶ֖רֶב בְּאַרְצֹֽו׃ ;qal;perf;שָׁ֣ב ;CB;וְשָׁ֣ב אֶל־אַרְצֹ֑ו ;W CB >L >RYW;;>L >RYW
31;CLX[;Isaiah;37;9;יִּשְׁלַ֣ח ;וַיִּשְׁמַ֗ע עַל־תִּרְהָ֤קָה מֶֽלֶךְ־כּוּשׁ֙ לֵאמֹ֔ר יָצָ֖א לְהִלָּחֵ֣ם אִתָּ֑ךְ וַיִּשְׁמַע֙ וַיִּשְׁלַ֣ח מַלְאָכִ֔ים אֶל־חִזְקִיָּ֖הוּ לֵאמֹֽר׃ ;qal;wayq;יִּשְׁלַ֣ח ;JCLX;וַיִּשְׁלַ֣ח מַלְאָכִ֔ים אֶל־חִזְקִיָּ֖הוּ ;W JCLX ML>KJM >L XZQJHW;;>L XZQJHW
32;<LH[;Isaiah;37;14;יַּ֨עַל֙ ;וַיִּקַּ֨ח חִזְקִיָּ֧הוּ אֶת־הַסְּפָרִ֛ים מִיַּ֥ד הַמַּלְאָכִ֖ים וַיִּקְרָאֵ֑הוּ וַיַּ֨עַל֙ בֵּ֣ית יְהוָ֔ה וַיִּפְרְשֵׂ֥הוּ חִזְקִיָּ֖הוּ לִפְנֵ֥י יְהוָֽה׃ ;qal;wayq;יַּ֨עַל֙ ;J<L;וַיַּ֨עַל֙ בֵּ֣ית יְהוָ֔ה ;W J<L BJT JHWH;;BJT JHWH
33;BW>[;Isaiah;37;33;יָבֹוא֙ ;לָכֵ֗ן כֹּֽה־אָמַ֤ר יְהוָה֙ אֶל־מֶ֣לֶךְ אַשּׁ֔וּר לֹ֤א יָבֹוא֙ אֶל־הָעִ֣יר הַזֹּ֔את וְלֹֽא־יֹורֶ֥ה שָׁ֖ם חֵ֑ץ וְלֹֽא־יְקַדְּמֶ֣נָּה מָגֵ֔ן וְלֹֽא־יִשְׁפֹּ֥ךְ עֳלֶ֖יהָ סֹלְלָֽה׃ ;qal;impf;יָבֹוא֙ ;JBW>;לֹ֤א יָבֹוא֙ אֶל־הָעִ֣יר הַזֹּ֔את ;L> JBW> >L H <JR H Z>T;;>L H <JR H Z>T
34;BW>[;Isaiah;37;34;בָּ֖א ;בַּדֶּ֥רֶךְ אֲשֶׁר־בָּ֖א בָּ֣הּ יָשׁ֑וּב וְאֶל־הָעִ֥יר הַזֹּ֛את לֹ֥א יָבֹ֖וא נְאֻם־יְהוָֽה׃ ;qal;perf;בָּ֖א ;B>;אֲשֶׁר־בָּ֖א בָּ֣הּ ;>CR B> BH;;
35;MLV[;Isaiah;37;38;נִמְלְט֖וּ ;וַיְהִי֩ ה֨וּא מִֽשְׁתַּחֲוֶ֜ה בֵּ֣ית׀ נִסְרֹ֣ךְ אֱלֹהָ֗יו וְֽאַדְרַמֶּ֨לֶךְ וְשַׂרְאֶ֤צֶר בָּנָיו֙ הִכֻּ֣הוּ בַחֶ֔רֶב וְהֵ֥מָּה נִמְלְט֖וּ אֶ֣רֶץ אֲרָרָ֑ט וַיִּמְלֹ֛ךְ אֵֽסַר־חַדֹּ֥ן בְּנֹ֖ו תַּחְתָּֽיו׃ ס ;nif;perf;נִמְלְט֖וּ ;NMLVW;וְהֵ֥מָּה נִמְלְט֖וּ אֶ֣רֶץ אֲרָרָ֑ט ;W HMH NMLVW >RY >RRV;HMH;>RY >RRV
36;BW>[;Isaiah;38;1;יָּבֹ֣וא ;בַּיָּמִ֣ים הָהֵ֔ם חָלָ֥ה חִזְקִיָּ֖הוּ לָמ֑וּת וַיָּבֹ֣וא אֵ֠לָיו יְשַׁעְיָ֨הוּ בֶן־אָמֹ֜וץ הַנָּבִ֗יא וַיֹּ֨אמֶר אֵלָ֜יו כֹּֽה־אָמַ֤ר יְהוָה֙ צַ֣ו לְבֵיתֶ֔ךָ כִּ֛י מֵ֥ת אַתָּ֖ה וְלֹ֥א תִֽחְיֶֽה׃ ;qal;wayq;יָּבֹ֣וא ;JBW>;וַיָּבֹ֣וא אֵ֠לָיו יְשַׁעְיָ֨הוּ בֶן־אָמֹ֜וץ הַנָּבִ֗יא ;W JBW> >LJW JC<JHW BN >MWY H NBJ>;JC<JHW BN >MWY H NBJ>;>LJW
37;<LH[;Isaiah;38;22;אֶעֱלֶ֖ה ;וַיֹּ֥אמֶר חִזְקִיָּ֖הוּ מָ֣ה אֹ֑ות כִּ֥י אֶעֱלֶ֖ה בֵּ֥ית יְהוָֽה׃ ס ;qal;impf;אֶעֱלֶ֖ה ;><LH;כִּ֥י אֶעֱלֶ֖ה בֵּ֥ית יְהוָֽה׃ ס ;KJ ><LH BJT JHWH;;BJT JHWH
38;CLX[;Isaiah;39;1;שָׁלַ֡ח ;בָּעֵ֣ת הַהִ֡וא שָׁלַ֡ח מְרֹדַ֣ךְ ֠בַּלְאֲדָן בֶּֽן־בַּלְאֲדָ֧ן מֶֽלֶךְ־בָּבֶ֛ל סְפָרִ֥ים וּמִנְחָ֖ה אֶל־חִזְקִיָּ֑הוּ וַיִּשְׁמַ֕ע כִּ֥י חָלָ֖ה וַֽיֶּחֱזָֽק׃ ;qal;perf;שָׁלַ֡ח ;CLX;בָּעֵ֣ת הַהִ֡וא שָׁלַ֡ח מְרֹדַ֣ךְ ֠בַּלְאֲדָן בֶּֽן־בַּלְאֲדָ֧ן מֶֽלֶךְ־בָּבֶ֛ל סְפָרִ֥ים וּמִנְחָ֖ה אֶל־חִזְקִיָּ֑הוּ ;B  <T H HW> CLX MRDK_BL>DN BN BL>DN MLK BBL SPRJM W MNXH >L XZQJHW;MRDK_BL>DN BN BL>DN MLK BBL;>L XZQJHW
39;BW>[;Isaiah;39;3;יָּבֹא֙ ;וַיָּבֹא֙ יְשַׁעְיָ֣הוּ הַנָּבִ֔יא אֶל־הַמֶּ֖לֶךְ חִזְקִיָּ֑הוּ וַיֹּ֨אמֶר אֵלָ֜יו מָ֥ה אָמְר֣וּ׀ הָאֲנָשִׁ֣ים הָאֵ֗לֶּה וּמֵאַ֨יִן֙ יָבֹ֣אוּ אֵלֶ֔יךָ וַיֹּ֨אמֶר֙ חִזְקִיָּ֔הוּ מֵאֶ֧רֶץ רְחֹוקָ֛ה בָּ֥אוּ אֵלַ֖י מִבָּבֶֽל׃ ;qal;wayq;יָּבֹא֙ ;JB>;וַיָּבֹא֙ יְשַׁעְיָ֣הוּ הַנָּבִ֔יא אֶל־הַמֶּ֖לֶךְ חִזְקִיָּ֑הוּ ;W JB> JC<JHW H NBJ> >L H MLK XZQJHW;JC<JHW H NBJ>;>L H MLK XZQJHW
40;BW>[;Isaiah;39;3;יָּבֹא֙ ;וַיָּבֹא֙ יְשַׁעְיָ֣הוּ הַנָּבִ֔יא אֶל־הַמֶּ֖לֶךְ חִזְקִיָּ֑הוּ וַיֹּ֨אמֶר אֵלָ֜יו מָ֥ה אָמְר֣וּ׀ הָאֲנָשִׁ֣ים הָאֵ֗לֶּה וּמֵאַ֨יִן֙ יָבֹ֣אוּ אֵלֶ֔יךָ וַיֹּ֨אמֶר֙ חִזְקִיָּ֔הוּ מֵאֶ֧רֶץ רְחֹוקָ֛ה בָּ֥אוּ אֵלַ֖י מִבָּבֶֽל׃ ;qal;wayq;יָּבֹא֙ ;JB>;וַיָּבֹא֙ יְשַׁעְיָ֣הוּ הַנָּבִ֔יא אֶל־הַמֶּ֖לֶךְ חִזְקִיָּ֑הוּ ;W JB> JC<JHW H NBJ> >L H MLK XZQJHW;JC<JHW H NBJ>;>L H MLK XZQJHW
41;BW>[;Isaiah;39;3;יָּבֹא֙ ;וַיָּבֹא֙ יְשַׁעְיָ֣הוּ הַנָּבִ֔יא אֶל־הַמֶּ֖לֶךְ חִזְקִיָּ֑הוּ וַיֹּ֨אמֶר אֵלָ֜יו מָ֥ה אָמְר֣וּ׀ הָאֲנָשִׁ֣ים הָאֵ֗לֶּה וּמֵאַ֨יִן֙ יָבֹ֣אוּ אֵלֶ֔יךָ וַיֹּ֨אמֶר֙ חִזְקִיָּ֔הוּ מֵאֶ֧רֶץ רְחֹוקָ֛ה בָּ֥אוּ אֵלַ֖י מִבָּבֶֽל׃ ;qal;wayq;יָּבֹא֙ ;JB>;וַיָּבֹא֙ יְשַׁעְיָ֣הוּ הַנָּבִ֔יא אֶל־הַמֶּ֖לֶךְ חִזְקִיָּ֑הוּ ;W JB> JC<JHW H NBJ> >L H MLK XZQJHW;JC<JHW H NBJ>;>L H MLK XZQJHW
